school_id,limits,length,inches
315,shorts,shorter than x inches from knee,2
316,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
316,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
317,dresses,shorter than mid-thigh,
317,skirts,shorter than mid-thigh,
317,shorts,shorter than mid-thigh,
318,shorts,shorter than mid-thigh,
320,skirts,"shorter than 1"" below fingertips",
320,shorts,"shorter than 1"" below fingertips",
321,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
322,dresses,shorter than fingertips,
322,skirts,shorter than fingertips,
322,shorts,shorter than fingertips,
323,skirts,shorter than fingertips,
323,shorts,shorter than fingertips,
325,shorts,shorter than mid-thigh,
326,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
326,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
328,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
328,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
329,skirts,shorter than fingertips,
329,shorts,shorter than fingertips,
330,dresses,shorter than x inches from knee,5
330,skirts,shorter than x inches from knee,5
330,shorts,shorter than x inches from knee,5
331,skirts,shorter than x inches from knee,3
331,shorts,shorter than x inches from knee,3
333,shorts,shorter than fingertips,
334,dresses,shorter than the knee,
334,skirts,shorter than the knee,
334,shorts,shorter than the knee,
335,skirts,shorter than fingertips,
335,shorts,shorter than fingertips,
336,skirts,shorter than the knee,
336,shorts,shorter than the knee,
337,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
340,skirts,shorter than mid-thigh,
340,shorts,shorter than mid-thigh,
341,skirts,shorter than fingertips,
341,shorts,shorter than fingertips,
343,skirts,shorter than fingertips,
343,shorts,shorter than fingertips,
344,dresses,shorter than 2 inches from fingertips,
344,skirts,shorter than 2 inches from fingertips,
344,shorts,shorter than 2 inches from fingertips,
479,dresses,shorter than the knee,
479,skirts,shorter than the knee,
479,shorts,shorter than the knee,
479,skorts,shorter than the knee,
479,jumpers,shorter than the knee,
479,culottes,shorter than the knee,
478,dresses,shorter than mid-thigh,
478,skirts,shorter than mid-thigh,
478,shorts,shorter than mid-thigh,
474,dresses,shorter than fingertips,
474,skirts,shorter than fingertips,
474,shorts,shorter than fingertips,
473,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
472,skirts,shorter than mid-thigh,
472,shorts,shorter than mid-thigh,
471,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
471,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
471,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
470,skirts,shorter than mid-thigh,
470,shorts,shorter than mid-thigh,
345,dresses,shorter than fingertips,
345,skirts,shorter than fingertips,
345,shorts,shorter than fingertips,
347,skirts,shorter than x inches from knee,4
347,shorts,shorter than x inches from knee,4
348,shorts,shorter than x inch inseam,3
350,dresses,shorter than mid-thigh,
350,shorts,shorter than x inch inseam,4
351,dresses,shorter than x inches from knee,4
351,skirts,shorter than x inches from knee,
351,shorts,shorter than x inches from knee,
345,dresses,shorter than mid-thigh,
345,skirts,shorter than mid-thigh,
345,shorts,shorter than mid-thigh,
353,dresses,shorter than x inches from knee,3.5
353,skirts,shorter than x inches from knee,3.5
353,shorts,shorter than x inches from knee,3.5
355,skirts,shorter than mid-thigh,
355,shorts,shorter than mid-thigh,
357,dresses,shorter than mid-thigh,
357,skirts,shorter than mid-thigh,
357,shorts,shorter than mid-thigh,
357,slits,shorter than mid-thigh,
358,dresses,shorter than mid-thigh,
358,skirts,shorter than mid-thigh,
358,shorts,shorter than mid-thigh,
359,dresses,shorter than mid-thigh,
359,skirts,shorter than mid-thigh,
359,shorts,shorter than mid-thigh,
360,skirts,,
360,shorts,,
360,skirts and shorts prohibited,,
361,shorts,shorter than x inch inseam,6
363,dresses,shorter than fingertips,
363,skirts,shorter than fingertips,
363,shorts,shorter than fingertips,
364,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
364,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
365,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
365,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
366,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
366,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
367,dresses,shorter than x inches from knee,3
367,skirts,shorter than x inches from knee,3
367,shorts,shorter than x inches from knee,3
368,dresses,shorter than the knee,
368,skirts,shorter than the knee,
368,shorts,shorter than the knee,
369,dresses,shorter than mid-thigh,
369,skirts,shorter than mid-thigh,
369,shorts,shorter than mid-thigh,
371,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
